date_id,label
2018-07-18-1020_1,1
2018-07-18-1020_2,1
2018-07-18-1020_21,1
2018-07-18-1020_22,1
2018-07-18-1020_23,1
2018-07-18-1020_24,1
2018-07-18-1020_25,0
2018-07-18-1020_26,0
2018-07-18-1020_27,0
2018-07-18-1020_28,0
2018-07-18-1020_29,0
2018-07-18-1020_3,1
2018-07-18-1020_30,0
2018-07-18-1020_31,1
2018-07-18-1020_32,0
2018-07-18-1020_33,0
2018-07-18-1020_34,1
2018-07-18-1020_35,1
2018-07-18-1020_36,1
2018-07-18-1020_4,1
2018-07-18-1020_5,1
2018-07-18-1020_6,1
2018-07-18-1020_7,0
2018-07-18-1020_8,1
2018-07-18-1025_1,1
2018-07-18-1025_2,1
2018-07-18-1025_21,1
2018-07-18-1025_22,1
2018-07-18-1025_23,1
2018-07-18-1025_24,1
2018-07-18-1025_25,0
2018-07-18-1025_26,0
2018-07-18-1025_27,0
2018-07-18-1025_28,0
2018-07-18-1025_29,0
2018-07-18-1025_3,1
2018-07-18-1025_30,0
2018-07-18-1025_31,1
2018-07-18-1025_32,0
2018-07-18-1025_33,1
2018-07-18-1025_34,1
2018-07-18-1025_35,1
2018-07-18-1025_36,1
2018-07-18-1025_4,1
2018-07-18-1025_5,1
2018-07-18-1025_6,1
2018-07-18-1025_7,0
2018-07-18-1025_8,1
2018-07-18-1030_1,1
2018-07-18-1030_2,1
2018-07-18-1030_21,1
2018-07-18-1030_22,1
2018-07-18-1030_23,0
2018-07-18-1030_24,1
2018-07-18-1030_25,0
2018-07-18-1030_26,0
2018-07-18-1030_27,0
2018-07-18-1030_28,0
2018-07-18-1030_29,0
2018-07-18-1030_3,1
2018-07-18-1030_30,0
2018-07-18-1030_31,1
2018-07-18-1030_32,1
2018-07-18-1030_33,1
2018-07-18-1030_34,1
2018-07-18-1030_35,1
2018-07-18-1030_36,1
2018-07-18-1030_4,1
2018-07-18-1030_5,1
2018-07-18-1030_6,1
2018-07-18-1030_7,0
2018-07-18-1030_8,1
2018-07-18-1035_1,1
2018-07-18-1035_2,1
2018-07-18-1035_21,1
2018-07-18-1035_22,1
2018-07-18-1035_23,0
2018-07-18-1035_24,1
2018-07-18-1035_25,0
2018-07-18-1035_26,0
2018-07-18-1035_27,0
2018-07-18-1035_28,0
2018-07-18-1035_29,0
2018-07-18-1035_3,1
2018-07-18-1035_30,0
2018-07-18-1035_31,1
2018-07-18-1035_32,1
2018-07-18-1035_33,1
2018-07-18-1035_34,1
2018-07-18-1035_35,1
2018-07-18-1035_36,0
2018-07-18-1035_4,1
2018-07-18-1035_5,1
2018-07-18-1035_6,1
2018-07-18-1035_7,0
2018-07-18-1035_8,1
2018-07-18-1040_1,1
2018-07-18-1040_2,1
2018-07-18-1040_21,1
2018-07-18-1040_22,1
2018-07-18-1040_23,0
2018-07-18-1040_24,1
2018-07-18-1040_25,0
2018-07-18-1040_26,0
2018-07-18-1040_27,0
2018-07-18-1040_28,0
2018-07-18-1040_29,0
2018-07-18-1040_3,1
2018-07-18-1040_30,0
2018-07-18-1040_31,1
2018-07-18-1040_32,1
2018-07-18-1040_33,1
2018-07-18-1040_34,1
2018-07-18-1040_35,1
2018-07-18-1040_36,0
2018-07-18-1040_4,1
2018-07-18-1040_5,1
2018-07-18-1040_6,1
2018-07-18-1040_7,0
2018-07-18-1040_8,1
2018-07-18-1045_1,1
2018-07-18-1045_2,1
2018-07-18-1045_21,1
2018-07-18-1045_22,1
2018-07-18-1045_23,1
2018-07-18-1045_24,1
2018-07-18-1045_25,0
2018-07-18-1045_26,0
2018-07-18-1045_27,0
2018-07-18-1045_28,0
2018-07-18-1045_29,0
2018-07-18-1045_3,1
2018-07-18-1045_30,0
2018-07-18-1045_31,1
2018-07-18-1045_32,1
2018-07-18-1045_33,1
2018-07-18-1045_34,1
2018-07-18-1045_35,1
2018-07-18-1045_36,0
2018-07-18-1045_4,1
2018-07-18-1045_5,1
2018-07-18-1045_6,1
2018-07-18-1045_7,0
2018-07-18-1045_8,1
2018-07-18-1050_1,1
2018-07-18-1050_2,1
2018-07-18-1050_21,1
2018-07-18-1050_22,1
2018-07-18-1050_23,1
2018-07-18-1050_24,1
2018-07-18-1050_25,0
2018-07-18-1050_26,0
2018-07-18-1050_27,0
2018-07-18-1050_28,0
2018-07-18-1050_29,0
2018-07-18-1050_3,1
2018-07-18-1050_30,0
2018-07-18-1050_31,1
2018-07-18-1050_32,1
2018-07-18-1050_33,1
2018-07-18-1050_34,1
2018-07-18-1050_35,1
2018-07-18-1050_36,0
2018-07-18-1050_4,1
2018-07-18-1050_5,1
2018-07-18-1050_6,1
2018-07-18-1050_7,0
2018-07-18-1050_8,1
2018-07-18-1055_1,1
2018-07-18-1055_2,1
2018-07-18-1055_21,1
2018-07-18-1055_22,1
2018-07-18-1055_23,0
2018-07-18-1055_24,1
2018-07-18-1055_25,0
2018-07-18-1055_26,0
2018-07-18-1055_27,0
2018-07-18-1055_28,0
2018-07-18-1055_29,0
2018-07-18-1055_3,1
2018-07-18-1055_30,0
2018-07-18-1055_31,1
2018-07-18-1055_32,1
2018-07-18-1055_33,1
2018-07-18-1055_34,1
2018-07-18-1055_35,0
2018-07-18-1055_36,0
2018-07-18-1055_4,1
2018-07-18-1055_5,1
