label,angle,y_one,y_two,x_one,x_two,
1,17,1851,1931,410,543,
2,18,1772,1844,460,608,
3,18,1692,1756,517,657,
4,18,1612,1673,566,703,
5,18,1532,1593,616,749,
6,18,1460,1517,654,794,
7,17,1384,1433,695,836,
8,17,1323,1365,741,870,
9,21,2536,2654,1175,1433,
10,22,2384,2498,1232,1475,
11,22,2247,2350,1262,1505,
12,22,2114,2201,1300,1521,
13,22,2000,2076,1327,1543,
14,22,1889,1962,1346,1559,
15,22,1787,1851,1372,1574,
16,22,1707,1756,1388,1581,
17,22,2220,2353,1939,2239,
18,22,2083,2201,1947,2228,
19,21,1969,2076,1943,2209,
20,21,1867,1947,1943,2205,
21,20,2125,2201,2669,2867,
22,-20,775,821,1464,1570,
23,-20,829,867,1490,1612,
24,-20,874,916,1524,1646,
25,-25,1319,1372,1844,1973,
26,-25,1391,1452,1882,2026,
27,-25,1471,1532,1939,2068,
28,-25,1555,1616,1973,2129,
29,-25,1642,1699,2023,2182,
30,-25,1734,1794,2076,2239,
31,-27,1851,1920,2125,2285,
32,-29,1973,2049,2171,2334,
33,-31,2102,2190,2209,2372,
34,-33,2251,2353,2236,2403,
35,-32,2369,2464,2304,2471,
36,-36,2559,2654,2289,2468,
