date_id,label
2018-06-19-1208_1,0
2018-06-19-1208_10,0
2018-06-19-1208_11,0
2018-06-19-1208_12,0
2018-06-19-1208_13,0
2018-06-19-1208_14,0
2018-06-19-1208_15,0
2018-06-19-1208_16,1
2018-06-19-1208_17,0
2018-06-19-1208_18,1
2018-06-19-1208_19,0
2018-06-19-1208_2,1
2018-06-19-1208_20,0
2018-06-19-1208_21,1
2018-06-19-1208_22,1
2018-06-19-1208_23,0
2018-06-19-1208_24,0
2018-06-19-1208_25,0
2018-06-19-1208_26,0
2018-06-19-1208_27,0
2018-06-19-1208_28,1
2018-06-19-1208_29,0
2018-06-19-1208_3,1
2018-06-19-1208_30,0
2018-06-19-1208_31,1
2018-06-19-1208_32,0
2018-06-19-1208_33,0
2018-06-19-1208_34,0
2018-06-19-1208_35,0
2018-06-19-1208_36,0
2018-06-19-1208_4,1
2018-06-19-1208_5,0
2018-06-19-1208_6,1
2018-06-19-1208_7,1
2018-06-19-1208_8,1
2018-06-19-1208_9,0
2018-06-19-1210_1,0
2018-06-19-1210_10,0
2018-06-19-1210_11,0
2018-06-19-1210_12,0
2018-06-19-1210_13,0
2018-06-19-1210_14,0
2018-06-19-1210_15,0
2018-06-19-1210_16,1
2018-06-19-1210_17,0
2018-06-19-1210_18,1
2018-06-19-1210_19,0
2018-06-19-1210_2,1
2018-06-19-1210_20,0
2018-06-19-1210_21,1
2018-06-19-1210_22,1
2018-06-19-1210_23,0
2018-06-19-1210_24,0
2018-06-19-1210_25,0
2018-06-19-1210_26,0
2018-06-19-1210_27,0
2018-06-19-1210_28,1
2018-06-19-1210_29,0
2018-06-19-1210_3,1
2018-06-19-1210_30,0
2018-06-19-1210_31,1
2018-06-19-1210_32,0
2018-06-19-1210_33,0
2018-06-19-1210_34,0
2018-06-19-1210_35,0
2018-06-19-1210_36,0
2018-06-19-1210_4,1
2018-06-19-1210_5,0
2018-06-19-1210_6,1
2018-06-19-1210_7,1
2018-06-19-1210_8,1
2018-06-19-1210_9,0
2018-06-19-1215_1,0
2018-06-19-1215_10,0
2018-06-19-1215_11,0
2018-06-19-1215_12,0
2018-06-19-1215_13,0
2018-06-19-1215_14,0
2018-06-19-1215_15,0
2018-06-19-1215_16,1
2018-06-19-1215_17,0
2018-06-19-1215_18,1
2018-06-19-1215_19,0
2018-06-19-1215_2,1
2018-06-19-1215_20,0
2018-06-19-1215_21,1
2018-06-19-1215_22,1
2018-06-19-1215_23,0
2018-06-19-1215_24,0
2018-06-19-1215_25,0
2018-06-19-1215_26,0
2018-06-19-1215_27,0
2018-06-19-1215_28,1
2018-06-19-1215_29,0
2018-06-19-1215_3,1
2018-06-19-1215_30,0
2018-06-19-1215_31,1
2018-06-19-1215_32,0
2018-06-19-1215_33,0
2018-06-19-1215_34,0
2018-06-19-1215_35,0
2018-06-19-1215_36,0
2018-06-19-1215_4,1
2018-06-19-1215_5,0
2018-06-19-1215_6,1
2018-06-19-1215_7,1
2018-06-19-1215_8,1
2018-06-19-1215_9,0
2018-06-19-1220_1,0
2018-06-19-1220_10,0
2018-06-19-1220_11,0
2018-06-19-1220_12,0
2018-06-19-1220_13,0
2018-06-19-1220_14,0
2018-06-19-1220_15,0
2018-06-19-1220_16,1
2018-06-19-1220_17,0
2018-06-19-1220_18,1
2018-06-19-1220_19,0
2018-06-19-1220_2,1
2018-06-19-1220_20,0
2018-06-19-1220_21,1
2018-06-19-1220_22,1
2018-06-19-1220_23,0
2018-06-19-1220_24,0
2018-06-19-1220_25,0
2018-06-19-1220_26,0
2018-06-19-1220_27,0
2018-06-19-1220_28,1
2018-06-19-1220_29,0
2018-06-19-1220_3,1
2018-06-19-1220_30,0
2018-06-19-1220_31,1
2018-06-19-1220_32,0
2018-06-19-1220_33,0
2018-06-19-1220_34,0
2018-06-19-1220_35,0
2018-06-19-1220_36,0
2018-06-19-1220_4,1
2018-06-19-1220_5,0
2018-06-19-1220_6,1
2018-06-19-1220_7,1
2018-06-19-1220_8,1
2018-06-19-1220_9,0
2018-06-19-1225_1,0
2018-06-19-1225_10,0
2018-06-19-1225_11,0
2018-06-19-1225_12,0
2018-06-19-1225_13,0
2018-06-19-1225_14,0
2018-06-19-1225_15,0
2018-06-19-1225_16,1
2018-06-19-1225_17,0
2018-06-19-1225_18,1
2018-06-19-1225_19,0
2018-06-19-1225_2,1
2018-06-19-1225_20,0
2018-06-19-1225_21,1
2018-06-19-1225_22,0
2018-06-19-1225_23,0
2018-06-19-1225_24,0
2018-06-19-1225_25,0
2018-06-19-1225_26,0
2018-06-19-1225_27,0
2018-06-19-1225_28,1
2018-06-19-1225_29,0
2018-06-19-1225_3,1
2018-06-19-1225_30,0
2018-06-19-1225_31,1
2018-06-19-1225_32,0
2018-06-19-1225_33,0
2018-06-19-1225_34,0
2018-06-19-1225_35,0
2018-06-19-1225_36,0
2018-06-19-1225_4,1
2018-06-19-1225_5,0
2018-06-19-1225_6,1
2018-06-19-1225_7,1
2018-06-19-1225_8,1
2018-06-19-1225_9,0
2018-06-19-1230_1,0
2018-06-19-1230_10,0
2018-06-19-1230_11,0
2018-06-19-1230_12,0
2018-06-19-1230_13,0
2018-06-19-1230_14,0
2018-06-19-1230_15,0
2018-06-19-1230_16,1
2018-06-19-1230_17,0
2018-06-19-1230_18,1
2018-06-19-1230_19,1
2018-06-19-1230_2,1
2018-06-19-1230_20,0
2018-06-19-1230_21,1
2018-06-19-1230_22,0
2018-06-19-1230_23,0
2018-06-19-1230_24,0
2018-06-19-1230_25,0
2018-06-19-1230_26,0
2018-06-19-1230_27,0
2018-06-19-1230_28,1
2018-06-19-1230_29,0
2018-06-19-1230_3,1
2018-06-19-1230_30,0
2018-06-19-1230_31,1
2018-06-19-1230_32,0
2018-06-19-1230_33,0
2018-06-19-1230_34,0
2018-06-19-1230_35,0
2018-06-19-1230_36,0
2018-06-19-1230_4,1
2018-06-19-1230_5,0
2018-06-19-1230_6,1
2018-06-19-1230_7,1
2018-06-19-1230_8,1
2018-06-19-1230_9,0
2018-06-19-1235_1,0
2018-06-19-1235_10,0
2018-06-19-1235_11,0
2018-06-19-1235_12,0
2018-06-19-1235_13,0
2018-06-19-1235_14,0
2018-06-19-1235_15,0
2018-06-19-1235_16,1
2018-06-19-1235_17,0
2018-06-19-1235_18,1
2018-06-19-1235_19,1
2018-06-19-1235_2,1
2018-06-19-1235_20,0
2018-06-19-1235_21,1
2018-06-19-1235_22,0
2018-06-19-1235_23,0
2018-06-19-1235_24,0
2018-06-19-1235_25,0
2018-06-19-1235_26,0
2018-06-19-1235_27,0
2018-06-19-1235_28,1
2018-06-19-1235_29,0
2018-06-19-1235_3,1
2018-06-19-1235_30,0
2018-06-19-1235_31,1
2018-06-19-1235_32,0
2018-06-19-1235_33,0
2018-06-19-1235_34,0
2018-06-19-1235_35,0
2018-06-19-1235_36,0
2018-06-19-1235_4,1
2018-06-19-1235_5,0
2018-06-19-1235_6,1
2018-06-19-1235_7,1
2018-06-19-1235_8,1
2018-06-19-1235_9,0
2018-06-19-1240_1,0
2018-06-19-1240_10,0
2018-06-19-1240_11,0
2018-06-19-1240_12,0
2018-06-19-1240_13,0
2018-06-19-1240_14,0
2018-06-19-1240_15,0
2018-06-19-1240_16,1
2018-06-19-1240_17,0
2018-06-19-1240_18,1
2018-06-19-1240_19,1
2018-06-19-1240_2,1
2018-06-19-1240_20,0
2018-06-19-1240_21,1
2018-06-19-1240_22,0
2018-06-19-1240_23,0
2018-06-19-1240_24,0
2018-06-19-1240_25,0
2018-06-19-1240_26,0
2018-06-19-1240_27,0
2018-06-19-1240_28,1
2018-06-19-1240_29,0
2018-06-19-1240_3,1
2018-06-19-1240_30,0
2018-06-19-1240_31,1
2018-06-19-1240_32,0
2018-06-19-1240_33,0
2018-06-19-1240_34,0
2018-06-19-1240_35,0
2018-06-19-1240_36,0
2018-06-19-1240_4,1
2018-06-19-1240_5,0
2018-06-19-1240_6,1
2018-06-19-1240_7,1
2018-06-19-1240_8,1
2018-06-19-1240_9,0
2018-06-19-1245_1,0
2018-06-19-1245_10,0
2018-06-19-1245_11,0
2018-06-19-1245_12,0
2018-06-19-1245_13,0
2018-06-19-1245_14,0
2018-06-19-1245_15,0
2018-06-19-1245_16,1
2018-06-19-1245_17,0
2018-06-19-1245_18,1
2018-06-19-1245_19,1
2018-06-19-1245_2,1
2018-06-19-1245_20,0
2018-06-19-1245_21,1
2018-06-19-1245_22,0
2018-06-19-1245_23,0
