"date_id","label"
"2018-07-14-1519_1",1
"2018-07-14-1519_10",1
"2018-07-14-1519_11",1
"2018-07-14-1519_12",0
"2018-07-14-1519_13",0
"2018-07-14-1519_14",1
"2018-07-14-1519_15",0
"2018-07-14-1519_16",1
"2018-07-14-1519_17",1
"2018-07-14-1519_18",1
"2018-07-14-1519_19",0
"2018-07-14-1519_2",0
"2018-07-14-1519_20",0
"2018-07-14-1519_21",1
"2018-07-14-1519_22",1
"2018-07-14-1519_23",1
"2018-07-14-1519_24",0
"2018-07-14-1519_25",1
"2018-07-14-1519_26",1
"2018-07-14-1519_27",0
"2018-07-14-1519_28",0
"2018-07-14-1519_29",0
"2018-07-14-1519_3",0
"2018-07-14-1519_30",1
"2018-07-14-1519_31",0
"2018-07-14-1519_32",0
"2018-07-14-1519_33",0
"2018-07-14-1519_34",0
"2018-07-14-1519_35",0
"2018-07-14-1519_36",0
"2018-07-14-1519_4",1
"2018-07-14-1519_5",0
"2018-07-14-1519_6",0
"2018-07-14-1519_7",1
"2018-07-14-1519_8",1
"2018-07-14-1519_9",1
"2018-07-14-1520_1",0
"2018-07-14-1520_10",1
"2018-07-14-1520_11",1
"2018-07-14-1520_12",0
"2018-07-14-1520_13",0
"2018-07-14-1520_14",1
"2018-07-14-1520_15",0
"2018-07-14-1520_16",1
"2018-07-14-1520_17",1
"2018-07-14-1520_18",1
"2018-07-14-1520_19",0
"2018-07-14-1520_2",0
"2018-07-14-1520_20",0
"2018-07-14-1520_21",1
"2018-07-14-1520_22",1
"2018-07-14-1520_23",1
"2018-07-14-1520_24",0
"2018-07-14-1520_25",1
"2018-07-14-1520_26",1
"2018-07-14-1520_27",1
"2018-07-14-1520_28",0
"2018-07-14-1520_29",0
"2018-07-14-1520_3",0
"2018-07-14-1520_30",1
"2018-07-14-1520_31",0
"2018-07-14-1520_32",0
"2018-07-14-1520_33",0
"2018-07-14-1520_34",0
"2018-07-14-1520_35",0
"2018-07-14-1520_36",0
"2018-07-14-1520_4",0
"2018-07-14-1520_5",0
"2018-07-14-1520_6",0
"2018-07-14-1520_7",0
"2018-07-14-1520_8",1
"2018-07-14-1520_9",1
"2018-07-14-1525_1",0
"2018-07-14-1525_10",1
"2018-07-14-1525_11",1
"2018-07-14-1525_12",0
"2018-07-14-1525_13",0
"2018-07-14-1525_14",1
"2018-07-14-1525_15",0
"2018-07-14-1525_16",1
"2018-07-14-1525_17",1
"2018-07-14-1525_18",1
"2018-07-14-1525_19",0
"2018-07-14-1525_2",0
"2018-07-14-1525_20",0
"2018-07-14-1525_21",1
"2018-07-14-1525_22",1
"2018-07-14-1525_23",1
"2018-07-14-1525_24",0
"2018-07-14-1525_25",1
"2018-07-14-1525_26",1
"2018-07-14-1525_27",1
"2018-07-14-1525_28",0
"2018-07-14-1525_29",0
"2018-07-14-1525_3",0
"2018-07-14-1525_30",1
"2018-07-14-1525_31",0
"2018-07-14-1525_32",0
"2018-07-14-1525_33",0
"2018-07-14-1525_34",0
"2018-07-14-1525_35",0
"2018-07-14-1525_36",0
"2018-07-14-1525_4",0
"2018-07-14-1525_5",1
"2018-07-14-1525_6",0
"2018-07-14-1525_7",0
"2018-07-14-1525_8",1
"2018-07-14-1525_9",1
"2018-07-14-1530_1",0
"2018-07-14-1530_10",1
"2018-07-14-1530_11",1
"2018-07-14-1530_12",0
"2018-07-14-1530_13",0
"2018-07-14-1530_14",1
"2018-07-14-1530_15",0
"2018-07-14-1530_16",1
"2018-07-14-1530_17",1
"2018-07-14-1530_18",1
"2018-07-14-1530_19",0
"2018-07-14-1530_2",0
"2018-07-14-1530_20",0
"2018-07-14-1530_21",1
"2018-07-14-1530_22",1
"2018-07-14-1530_23",1
"2018-07-14-1530_24",0
"2018-07-14-1530_25",1
"2018-07-14-1530_26",1
"2018-07-14-1530_27",1
"2018-07-14-1530_28",0
"2018-07-14-1530_29",0
"2018-07-14-1530_3",0
"2018-07-14-1530_30",1
"2018-07-14-1530_31",0
"2018-07-14-1530_32",0
"2018-07-14-1530_33",0
"2018-07-14-1530_34",0
"2018-07-14-1530_35",0
"2018-07-14-1530_36",0
"2018-07-14-1530_4",1
"2018-07-14-1530_5",1
"2018-07-14-1530_6",0
"2018-07-14-1530_7",0
"2018-07-14-1530_8",1
"2018-07-14-1530_9",1
"2018-07-14-1535_1",0
"2018-07-14-1535_10",1
"2018-07-14-1535_11",1
"2018-07-14-1535_12",0
"2018-07-14-1535_13",0
"2018-07-14-1535_14",1
"2018-07-14-1535_15",0
"2018-07-14-1535_16",1
"2018-07-14-1535_17",1
"2018-07-14-1535_18",1
"2018-07-14-1535_19",0
"2018-07-14-1535_2",0
"2018-07-14-1535_20",0
"2018-07-14-1535_21",1
"2018-07-14-1535_22",1
"2018-07-14-1535_23",1
"2018-07-14-1535_24",0
"2018-07-14-1535_25",1
"2018-07-14-1535_26",1
"2018-07-14-1535_27",1
"2018-07-14-1535_28",0
"2018-07-14-1535_29",0
"2018-07-14-1535_3",0
"2018-07-14-1535_30",1
"2018-07-14-1535_31",0
"2018-07-14-1535_32",0
"2018-07-14-1535_33",0
"2018-07-14-1535_34",0
"2018-07-14-1535_35",0
"2018-07-14-1535_36",0
"2018-07-14-1535_4",1
"2018-07-14-1535_5",1
"2018-07-14-1535_6",0
"2018-07-14-1535_7",0
"2018-07-14-1535_8",1
"2018-07-14-1535_9",1
"2018-07-14-1540_1",0
"2018-07-14-1540_10",1
"2018-07-14-1540_11",1
"2018-07-14-1540_12",0
"2018-07-14-1540_13",0
"2018-07-14-1540_14",1
"2018-07-14-1540_15",0
"2018-07-14-1540_16",1
"2018-07-14-1540_17",1
"2018-07-14-1540_18",1
"2018-07-14-1540_19",0
"2018-07-14-1540_2",0
"2018-07-14-1540_20",0
"2018-07-14-1540_21",1
"2018-07-14-1540_22",1
"2018-07-14-1540_23",1
"2018-07-14-1540_24",0
"2018-07-14-1540_25",1
"2018-07-14-1540_26",1
"2018-07-14-1540_27",1
"2018-07-14-1540_28",0
"2018-07-14-1540_29",0
"2018-07-14-1540_3",0
"2018-07-14-1540_30",1
"2018-07-14-1540_31",0
"2018-07-14-1540_32",0
"2018-07-14-1540_33",0
"2018-07-14-1540_34",0
"2018-07-14-1540_35",0
"2018-07-14-1540_36",0
"2018-07-14-1540_4",1
"2018-07-14-1540_5",1
"2018-07-14-1540_6",0
"2018-07-14-1540_7",0
"2018-07-14-1540_8",0
"2018-07-14-1540_9",1
"2018-07-14-1545_1",0
"2018-07-14-1545_10",1
"2018-07-14-1545_11",0
"2018-07-14-1545_12",0
"2018-07-14-1545_13",0
"2018-07-14-1545_14",1
"2018-07-14-1545_15",0
"2018-07-14-1545_16",1
"2018-07-14-1545_17",1
"2018-07-14-1545_18",1
"2018-07-14-1545_19",0
"2018-07-14-1545_2",0
"2018-07-14-1545_20",0
"2018-07-14-1545_21",1
"2018-07-14-1545_22",1
"2018-07-14-1545_23",1
"2018-07-14-1545_24",0
"2018-07-14-1545_25",1
"2018-07-14-1545_26",1
"2018-07-14-1545_27",1
"2018-07-14-1545_28",0
"2018-07-14-1545_29",0
"2018-07-14-1545_3",0
"2018-07-14-1545_30",1
"2018-07-14-1545_31",0
"2018-07-14-1545_32",0
"2018-07-14-1545_33",0
"2018-07-14-1545_34",0
"2018-07-14-1545_35",0
"2018-07-14-1545_36",0
"2018-07-14-1545_4",1
"2018-07-14-1545_5",1
"2018-07-14-1545_6",0
"2018-07-14-1545_7",0
"2018-07-14-1545_8",1
"2018-07-14-1545_9",1
"2018-07-14-1550_1",0
"2018-07-14-1550_10",1
"2018-07-14-1550_11",0
"2018-07-14-1550_12",0
"2018-07-14-1550_13",0
"2018-07-14-1550_14",1
"2018-07-14-1550_15",0
"2018-07-14-1550_16",1
"2018-07-14-1550_17",1
"2018-07-14-1550_18",1
"2018-07-14-1550_19",0
"2018-07-14-1550_2",0
"2018-07-14-1550_20",0
"2018-07-14-1550_21",1
"2018-07-14-1550_22",1
"2018-07-14-1550_23",1
"2018-07-14-1550_24",0
"2018-07-14-1550_25",1
"2018-07-14-1550_26",1
"2018-07-14-1550_27",1
"2018-07-14-1550_28",0
"2018-07-14-1550_29",0
"2018-07-14-1550_3",0
"2018-07-14-1550_30",1
"2018-07-14-1550_31",0
"2018-07-14-1550_32",0
"2018-07-14-1550_33",0
"2018-07-14-1550_34",0
"2018-07-14-1550_35",0
"2018-07-14-1550_36",0
"2018-07-14-1550_4",1
"2018-07-14-1550_5",1
"2018-07-14-1550_6",0
"2018-07-14-1550_7",0
"2018-07-14-1550_8",1
"2018-07-14-1550_9",1
"2018-07-14-1555_1",0
"2018-07-14-1555_10",1
"2018-07-14-1555_11",0
"2018-07-14-1555_12",0
"2018-07-14-1555_13",0
"2018-07-14-1555_14",1
"2018-07-14-1555_15",0
"2018-07-14-1555_16",1
"2018-07-14-1555_17",1
"2018-07-14-1555_18",1
"2018-07-14-1555_19",0
"2018-07-14-1555_2",0
"2018-07-14-1555_20",0
"2018-07-14-1555_21",1
"2018-07-14-1555_22",1
"2018-07-14-1555_23",1
"2018-07-14-1555_24",0
"2018-07-14-1555_25",1
"2018-07-14-1555_26",1
"2018-07-14-1555_27",1
"2018-07-14-1555_28",0
"2018-07-14-1555_29",0
"2018-07-14-1555_3",0
"2018-07-14-1555_30",1
"2018-07-14-1555_31",0
"2018-07-14-1555_32",0
"2018-07-14-1555_33",0
"2018-07-14-1555_34",0
"2018-07-14-1555_35",0
"2018-07-14-1555_36",0
"2018-07-14-1555_4",1
"2018-07-14-1555_5",1
"2018-07-14-1555_6",0
"2018-07-14-1555_7",0
"2018-07-14-1555_8",1
"2018-07-14-1555_9",1
"2018-07-14-1600_1",0
"2018-07-14-1600_10",1
"2018-07-14-1600_11",0
"2018-07-14-1600_12",0
"2018-07-14-1600_13",0
"2018-07-14-1600_14",1
"2018-07-14-1600_15",0
"2018-07-14-1600_16",1
"2018-07-14-1600_17",1
"2018-07-14-1600_18",1
"2018-07-14-1600_19",0
"2018-07-14-1600_2",0
"2018-07-14-1600_20",0
"2018-07-14-1600_21",1
"2018-07-14-1600_22",1
"2018-07-14-1600_23",1
"2018-07-14-1600_24",0
"2018-07-14-1600_25",1
"2018-07-14-1600_26",1
"2018-07-14-1600_27",1
"2018-07-14-1600_28",0
"2018-07-14-1600_29",0
"2018-07-14-1600_3",0
"2018-07-14-1600_30",1
"2018-07-14-1600_31",0
"2018-07-14-1600_32",0
"2018-07-14-1600_33",0
"2018-07-14-1600_34",0
"2018-07-14-1600_35",0
"2018-07-14-1600_36",0
"2018-07-14-1600_4",1
"2018-07-14-1600_5",1
"2018-07-14-1600_6",0
"2018-07-14-1600_7",0
